Country,SEC-site,Wikipedia
Afganistan,8.71,Y
Albania,24.01,N
Algeria,6.8,N
Angola,32.64,N
Argentina,14.59,Y
Armenia,57.95,Y
Australia,23.81,Y
Austria,5.03,Y
Azerbaijan,57.72,Y
Bahamas,61.79,Y
Bahrain,None,Y
Bangladesh,38.72,N
Barbados,None,N
Belarus,25.14,Y
Belgium,20.5,Y
Belize,25.99,Y
Benin,85.09,Y
Bermuda,None,Y
Bhutan,92.45,Y
Bolivia,5.48,Y
Bosnia and Herzegovina,36,Y
Botswana,9.98,Y
Brazil,39.7,Y
Brunei,18.78,Y
Bulgaria,21.02,Y
Burkina Faso,17.88,N
Burundi,8.96,Y
Cambodia,50.9,N
Cameroon,7.34,N
Canada,11.84,Y
Cape Verde,None,N
Chile,4.24,Y
China,1.08,Y
Colombia,8.72,Y
Congo,15.5,N
Costa Rica,33.53,Y
Cote d'Ivoire,26.14,N
Croatia,18.94,Y
Cuba,6.31,N
Curaça,None,N
Cyprus,6.83,N
Czech Republic,64.67,Y
Democratic Republic of Congo,None,N
Denmark,75.24,Y
Djibouti,86.9,N
Dominican Republic,12.05,N
Ecuador,13.51,N
Egypt,23.65,N
El Salvador,3.69,N
Estonia,59.78,Y
Ethiopia,16.04,N
Fiji,38.19,N
Finland,8.37,Y
France,26.5,Y
French Guiana,3.06,N
French Polynesia,None,N
Gabon,21.07,N
Gambia,None,N
Georgia,17.05,N
Germany,47.25,Y
Ghana,74.19,N
Greece,14.72,Y
Guadeloupe,None,N
Guam,None,N
Guatemala,8.53,N
Guinea,0.8,Y
Guyana,3.05,N
Haiti,32.69,N
Honduras,32.07,Y
Hong Kong,part of china,Y
Hungary,11.8,Y
Iceland,90.65,Y
India,32.54,Y
Indonesia,10.61,Y
Iran,22.99,N
Iraq,62.04,Partial
Ireland,21.09,Y
Israel,46.88,Y
Italy,8.56,Y
Jamaica,57.18,N
Japan,9.17,Y
Jordan,2.37,N
Kazakhstan,40.35,N
Kenya,20.81,Y
Kuwait,2.29,N
Kyrgyzstan,5.3,Y
Laos,18.3,Y
Latvia,63.5,Y
Lebanon,15.08,Y
Lesotho,7.85,N
Liberia,93.35,Partial
Libya,31.87,N
Lithuania,28.86,Y
Luxembourg,68.55,Y
Macao,part of china,N
Macedonia,30.73,N
Madagascar,7.48,Y
Malawi,26.97,N
Malaysia,19.08,Y
Maldives,None,N
Mali,3.35,N
Malta,None,N
Martinique,11,N
Mauritania,26.18,N
Mauritius,4.53,N
Mayotte,None,Y
Mexico,4.25,Y
Moldova,10.98,N
Mongolia,53.5,Y
Montenegro,5.34,Y
Morocco,3.19,Partial
Mozambique,21.19,N
Myanmar,35.46,Y
Namibia,10.09,Y
Nepal,15.72,N
Netherlands,18.36,Y
New Caledonia,48.99,Y
New Zealand,47.58,Y
Nicaragua,12.14,N
Niger,37.72,N
Nigeria,3.7,N
Norway,80.24,Y
Oman,2.63,N
Pakistan,12.59,N
Palestinian Territory,None,N
Panama,42.58,N
Papua New Guinea,43.46,N
Paraguay,11.22,N
Peru,4.42,Y
Philippines,14.5,N
Poland,38.25,Y
Portugal,52.45,Y
Puerto Rico,37.43,Y
Qatar,1.73,N
Reunion,6.87,Y
Romania,4.54,Y
Russia,13.67,Y
Rwanda,31.84,N
Saint Lucia,None,Y
Saudi Arabia,4.03,Y
Senegal,67.75,Y
Serbia,21.64,N
Seychelles,None,Y
Sierra Leone,65.36,N
Singapore,None,Y
Slovakia,18.05,Y
Slovenia,56.7,Y
Somalia,47.77,N
South Africa,44.76,Y
South Korea,2.08,Y
Spain,8.86,Y
Sri Lanka,9.08,Y
Sudan,4.03,N
Suriname,6.63,N
Swaziland,26.74,N
Sweden,79.25,Y
Switzerland,22.59,Y
Syrian Arab Republic,20.2,Y
Taiwan,4.45,Y
Tajikistan,30.79,N
Tanzania,18.22,Y
Thailand,3.63,Y
Timor-Leste,7.85,Y
Togo,44.15,N
Trinidad and Tobago,2.54,Y
Tunisia,9.42,Y
Turkey,26.94,N
Turkmenistan,57.89,Y
Uganda,15.75,Y
Ukraine,28.69,Y
United Arab Emirates,12.54,N
United Kingdom,7.43,Y
United States,22.37,Y
Uruguay,2.7,Y
Uzbekistan,44.39,N
Venezuela,17.79,N
Vietnam,11.46,Y
Yemen,72.97,N
Zambia,4.88,Y
Zimbabwe,35.34,N
